problem,instance,method,method_label,qubit_count,gap_to_bks_percent,hardware_feasible,source_table
MDKP,hp1,pce,PCE,7,13.25,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_pce/csv/main_table_pce.csv
MDKP,hp2,pce,PCE,8,14.56,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_pce/csv/main_table_pce.csv
MDKP,pb1,pce,PCE,7,22.78,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_pce/csv/main_table_pce.csv
MDKP,pb2,pce,PCE,8,21.37,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_pce/csv/main_table_pce.csv
MDKP,pb4,pce,PCE,6,21.3,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_pce/csv/main_table_pce.csv
MDKP,pb5,pce,PCE,10,17.72,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_pce/csv/main_table_pce.csv
MDKP,pet2,pce,PCE,9,1.69,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_pce/csv/main_table_pce.csv
MDKP,pet3,pce,PCE,9,7.97,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_pce/csv/main_table_pce.csv
MDKP,pet4,pce,PCE,9,20.42,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_pce/csv/main_table_pce.csv
MDKP,pet5,pce,PCE,10,37.5,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_pce/csv/main_table_pce.csv
MDKP,pet6,pce,PCE,9,19.92,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_pce/csv/main_table_pce.csv
MDKP,pet7,pce,PCE,9,25.27,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_pce/csv/main_table_pce.csv
MDKP,hp1,qrao,QRAO,38,5.85,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_qrao/csv/main_table_qrao.csv
MDKP,hp2,qrao,QRAO,45,16.67,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_qrao/csv/main_table_qrao.csv
MDKP,pb1,qrao,QRAO,37,15.4,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_qrao/csv/main_table_qrao.csv
MDKP,pb2,qrao,QRAO,44,13.65,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_qrao/csv/main_table_qrao.csv
MDKP,pb4,qrao,QRAO,32,21.71,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_qrao/csv/main_table_qrao.csv
MDKP,pb5,qrao,QRAO,57,18,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_qrao/csv/main_table_qrao.csv
MDKP,pet2,qrao,QRAO,44,0.64,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_qrao/csv/main_table_qrao.csv
MDKP,pet3,qrao,QRAO,44,34.12,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_qrao/csv/main_table_qrao.csv
MDKP,pet4,qrao,QRAO,47,18.63,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_qrao/csv/main_table_qrao.csv
MDKP,pet5,qrao,QRAO,58,25.52,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_qrao/csv/main_table_qrao.csv
MDKP,pet6,qrao,QRAO,52,15.23,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_qrao/csv/main_table_qrao.csv
MDKP,pet7,qrao,QRAO,62,16.79,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_qrao/csv/main_table_qrao.csv
MDKP,hp1,vqe,VQE,60,26.95,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_vqe/csv/main_table_vqe.csv
MDKP,hp2,vqe,VQE,67,17.92,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_vqe/csv/main_table_vqe.csv
MDKP,pb1,vqe,VQE,59,22.62,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_vqe/csv/main_table_vqe.csv
MDKP,pb2,vqe,VQE,66,26.77,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_vqe/csv/main_table_vqe.csv
MDKP,pb4,vqe,VQE,45,33.63,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_vqe/csv/main_table_vqe.csv
MDKP,pb5,vqe,VQE,116,29.73,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_vqe/csv/main_table_vqe.csv
MDKP,pet2,vqe,VQE,99,16.98,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_vqe/csv/main_table_vqe.csv
MDKP,pet3,vqe,VQE,102,32.38,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_vqe/csv/main_table_vqe.csv
MDKP,pet4,vqe,VQE,107,44.69,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_vqe/csv/main_table_vqe.csv
MDKP,pet5,vqe,VQE,122,25.65,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_vqe/csv/main_table_vqe.csv
MDKP,pet6,vqe,VQE,86,20.24,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_vqe/csv/main_table_vqe.csv
MDKP,pet7,vqe,VQE,100,23.28,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_vqe/csv/main_table_vqe.csv
MDKP,hp1,cvar_vqe,CVaR-VQE,60,33.85,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_cvar_vqe/csv/main_table_cvar_vqe.csv
MDKP,hp2,cvar_vqe,CVaR-VQE,67,15.88,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_cvar_vqe/csv/main_table_cvar_vqe.csv
MDKP,pb1,cvar_vqe,CVaR-VQE,59,14.89,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_cvar_vqe/csv/main_table_cvar_vqe.csv
MDKP,pb2,cvar_vqe,CVaR-VQE,66,11.93,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_cvar_vqe/csv/main_table_cvar_vqe.csv
MDKP,pb4,cvar_vqe,CVaR-VQE,45,34.97,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_cvar_vqe/csv/main_table_cvar_vqe.csv
MDKP,pb5,cvar_vqe,CVaR-VQE,116,18.14,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_cvar_vqe/csv/main_table_cvar_vqe.csv
MDKP,pet2,cvar_vqe,CVaR-VQE,99,1.5,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_cvar_vqe/csv/main_table_cvar_vqe.csv
MDKP,pet3,cvar_vqe,CVaR-VQE,102,36.61,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_cvar_vqe/csv/main_table_cvar_vqe.csv
MDKP,pet4,cvar_vqe,CVaR-VQE,107,41.91,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_cvar_vqe/csv/main_table_cvar_vqe.csv
MDKP,pet5,cvar_vqe,CVaR-VQE,122,13.83,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_cvar_vqe/csv/main_table_cvar_vqe.csv
MDKP,pet6,cvar_vqe,CVaR-VQE,86,13.88,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_cvar_vqe/csv/main_table_cvar_vqe.csv
MDKP,pet7,cvar_vqe,CVaR-VQE,100,24.52,true,research_benchmark/research_benchmark/results_hardware/mkp/mkp_cvar_vqe/csv/main_table_cvar_vqe.csv
MIS,1tc.8,pce,PCE,3,25,true,research_benchmark/research_benchmark/results_hardware/mis/mis_pce/csv/main_table_pce.csv
MIS,1tc.16,pce,PCE,4,62.5,true,research_benchmark/research_benchmark/results_hardware/mis/mis_pce/csv/main_table_pce.csv
MIS,1tc.8,qrao,QRAO,4,0,true,research_benchmark/research_benchmark/results_hardware/mis/mis_qrao/csv/main_table_qrao.csv
MIS,1tc.16,qrao,QRAO,6,12.5,true,research_benchmark/research_benchmark/results_hardware/mis/mis_qrao/csv/main_table_qrao.csv
MIS,1tc.32,qrao,QRAO,13,25,true,research_benchmark/research_benchmark/results_hardware/mis/mis_qrao/csv/main_table_qrao.csv
MIS,1tc.8,vqe,VQE,8,0,true,research_benchmark/research_benchmark/results_hardware/mis/mis_vqe/csv/main_table_vqe.csv
MIS,1tc.16,vqe,VQE,16,0,true,research_benchmark/research_benchmark/results_hardware/mis/mis_vqe/csv/main_table_vqe.csv
MIS,1tc.8,cvar_vqe,CVaR-VQE,8,0,true,research_benchmark/research_benchmark/results_hardware/mis/mis_cvar_vqe/csv/main_table_cvar_vqe.csv
MIS,1tc.16,cvar_vqe,CVaR-VQE,16,12.5,true,research_benchmark/research_benchmark/results_hardware/mis/mis_cvar_vqe/csv/main_table_cvar_vqe.csv
MIS,1tc.32,cvar_vqe,CVaR-VQE,32,16.67,true,research_benchmark/research_benchmark/results_hardware/mis/mis_cvar_vqe/csv/main_table_cvar_vqe.csv
