threshold,bond_dimension_cap,cases,max_tvd_vs_exact,max_tvd_vs_uncapped_mps,max_observed_bond_dimension
1e-16,uncapped,7,2.8776129432975036e-11,0.0,4
1e-16,2,7,0.24087180340532932,0.2408718034053591,4
1e-16,4,7,2.8776129432975036e-11,0.0,4
1e-16,8,7,2.8776129432975036e-11,0.0,4
1e-16,16,7,2.8776129432975036e-11,0.0,4
1e-16,32,7,2.8776129432975036e-11,0.0,4
1e-16,64,7,2.8776129432975036e-11,0.0,4
1e-16,128,7,2.8776129432975036e-11,0.0,4
1e-16,256,7,2.8776129432975036e-11,0.0,4
1e-14,uncapped,7,2.8776129432975036e-11,0.0,4
1e-14,2,7,0.24087180340532932,0.2408718034053591,4
1e-14,4,7,2.8776129432975036e-11,0.0,4
1e-14,8,7,2.8776129432975036e-11,0.0,4
1e-14,16,7,2.8776129432975036e-11,0.0,4
1e-14,32,7,2.8776129432975036e-11,0.0,4
1e-14,64,7,2.8776129432975036e-11,0.0,4
1e-14,128,7,2.8776129432975036e-11,0.0,4
1e-14,256,7,2.8776129432975036e-11,0.0,4
1e-12,uncapped,7,2.8776129432975036e-11,0.0,4
1e-12,2,7,0.24087180340532932,0.2408718034053591,4
1e-12,4,7,2.8776129432975036e-11,0.0,4
1e-12,8,7,2.8776129432975036e-11,0.0,4
1e-12,16,7,2.8776129432975036e-11,0.0,4
1e-12,32,7,2.8776129432975036e-11,0.0,4
1e-12,64,7,2.8776129432975036e-11,0.0,4
1e-12,128,7,2.8776129432975036e-11,0.0,4
1e-12,256,7,2.8776129432975036e-11,0.0,4
1e-10,uncapped,7,2.8776129432975036e-11,0.0,4
1e-10,2,7,0.24087180340532932,0.2408718034053591,4
1e-10,4,7,2.8776129432975036e-11,0.0,4
1e-10,8,7,2.8776129432975036e-11,0.0,4
1e-10,16,7,2.8776129432975036e-11,0.0,4
1e-10,32,7,2.8776129432975036e-11,0.0,4
1e-10,64,7,2.8776129432975036e-11,0.0,4
1e-10,128,7,2.8776129432975036e-11,0.0,4
1e-10,256,7,2.8776129432975036e-11,0.0,4
1e-08,uncapped,7,2.8776129432975036e-11,0.0,4
1e-08,2,7,0.24087180340532932,0.2408718034053591,4
1e-08,4,7,2.8776129432975036e-11,0.0,4
1e-08,8,7,2.8776129432975036e-11,0.0,4
1e-08,16,7,2.8776129432975036e-11,0.0,4
1e-08,32,7,2.8776129432975036e-11,0.0,4
1e-08,64,7,2.8776129432975036e-11,0.0,4
1e-08,128,7,2.8776129432975036e-11,0.0,4
1e-08,256,7,2.8776129432975036e-11,0.0,4
