execution_mode,method,problem,n_runs,planned_max_iterations_min,planned_max_iterations_max,planned_max_evaluations_min,planned_max_evaluations_max,median_realized_iterations,min_realized_iterations,max_realized_iterations,median_realized_evaluations,min_realized_evaluations,max_realized_evaluations,fraction_budget_reached,fraction_tolerance_reached,fraction_optimizer_failure,median_objective_shots,median_final_sampling_shots
hardware_multi,cvar_vqe,market_share,8,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,1.0,0.0,0.0,1000.0,1000.0
hardware_multi,cvar_vqe,mis,7,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,1.0,0.0,0.0,1000.0,1000.0
hardware_multi,cvar_vqe,mkp,12,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,1.0,0.0,0.0,1000.0,1000.0
hardware_multi,cvar_vqe,qap,11,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,1.0,0.0,0.0,1000.0,1000.0
hardware_multi,qaoa,mis,1,200.0,200.0,200.0,200.0,56.0,56.0,56.0,56.0,56.0,56.0,0.0,0.0,0.0,1000.0,1000.0
hardware_multi,vqe,market_share,8,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,1.0,0.0,0.0,1000.0,1000.0
hardware_multi,vqe,mis,7,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,1.0,0.0,0.0,1000.0,1000.0
hardware_multi,vqe,mkp,12,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,1.0,0.0,0.0,1000.0,1000.0
hardware_multi,vqe,qap,2,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,1.0,0.0,0.0,1000.0,1000.0
hardware_single,ma_qaoa,market_share,8,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,1.0,0.0,0.0,1000.0,1000.0
hardware_single,ma_qaoa,mis,7,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,1.0,0.0,0.0,1000.0,1000.0
hardware_single,ma_qaoa,mkp,12,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,1.0,0.0,0.0,1000.0,1000.0
hardware_single,ma_qaoa,qap,8,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,1.0,0.0,0.0,1000.0,1000.0
hardware_single,pce,market_share,8,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,1.0,0.0,0.0,1000.0,1000.0
hardware_single,pce,mis,7,200.0,200.0,200.0,200.0,200.0,124.0,200.0,200.0,124.0,200.0,0.7142857142857143,0.0,0.0,1000.0,1000.0
hardware_single,pce,mkp,12,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,1.0,0.0,0.0,1000.0,1000.0
hardware_single,pce,qap,6,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,1.0,0.0,0.0,1000.0,1000.0
hardware_single,qaoa,market_share,8,200.0,200.0,200.0,200.0,55.0,48.0,59.0,55.0,48.0,59.0,0.0,0.0,0.0,1000.0,1000.0
hardware_single,qaoa,mis,6,200.0,200.0,200.0,200.0,59.0,50.0,65.0,59.0,50.0,65.0,0.0,0.0,0.0,1000.0,1000.0
hardware_single,qaoa,mkp,12,200.0,200.0,200.0,200.0,54.5,49.0,63.0,54.5,49.0,63.0,0.0,0.0,0.0,1000.0,1000.0
hardware_single,qaoa,qap,14,200.0,200.0,200.0,200.0,61.5,48.0,67.0,61.5,48.0,67.0,0.0,0.0,0.0,1000.0,1000.0
hardware_single,qrao,market_share,8,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,0.0,0.0,0.0,1000.0,1000.0
hardware_single,qrao,mis,7,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,0.0,0.0,0.0,1000.0,1000.0
hardware_single,qrao,mkp,12,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,0.0,0.0,0.0,1000.0,1000.0
hardware_single,qrao,qap,7,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,0.0,0.0,0.0,1000.0,1000.0
hardware_single,vqe,qap,9,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,1.0,0.0,0.0,1000.0,1000.0
hardware_single,ws_qaoa,market_share,8,200.0,200.0,200.0,200.0,54.0,47.0,63.0,54.0,47.0,63.0,0.0,0.0,0.0,1000.0,1000.0
hardware_single,ws_qaoa,mis,7,200.0,200.0,200.0,200.0,64.0,59.0,73.0,64.0,59.0,73.0,0.0,0.0,0.0,1000.0,1000.0
hardware_single,ws_qaoa,mkp,12,200.0,200.0,200.0,200.0,55.5,45.0,68.0,55.5,45.0,68.0,0.0,0.0,0.0,1000.0,1000.0
hardware_single,ws_qaoa,qap,9,200.0,200.0,200.0,200.0,50.0,46.0,66.0,50.0,46.0,66.0,0.0,0.0,0.0,1000.0,1000.0
simulator_single,pce,mis,7,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,1.0,0.0,0.0,1000.0,1000.0
