case_id,problem,instance,method,initialization_seed,budget_multiplier,objective_evaluation_index,optimizer_iteration_index,objective_value,best_objective_so_far,cumulative_runtime_seconds
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,1,1,174941016.077,174941016.077,1.0683109760284424
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,2,2,173606453.645,173606453.645,2.066222667694092
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,3,3,166029394.112,166029394.112,2.998584508895874
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,4,4,167772320.991,166029394.112,3.9070184230804443
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,5,5,175186487.693,166029394.112,4.8820085525512695
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,6,6,170234651.166,166029394.112,5.824991941452026
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,7,7,169319418.2,166029394.112,6.772394895553589
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,8,8,184020668.621,166029394.112,7.736255168914795
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,9,9,167609577.868,166029394.112,8.651231288909912
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,10,10,165739809.708,165739809.708,9.629839420318604
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,11,11,176656725.07,165739809.708,10.541816234588623
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,12,12,162971748.676,162971748.676,11.49552845954895
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,13,13,174530991.086,162971748.676,12.402733564376831
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,14,14,173683212.384,162971748.676,13.311732769012451
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,15,15,173412589.238,162971748.676,14.269232749938965
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,16,16,176682143.668,162971748.676,15.165425777435303
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,17,17,170946000.38,162971748.676,16.118184804916382
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,18,18,170401913.83,162971748.676,17.04934597015381
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,19,19,174544919.29,162971748.676,18.134620666503906
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,20,20,170291894.372,162971748.676,19.141793727874756
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,21,21,176568214.817,162971748.676,20.069360494613647
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,22,22,174156267.371,162971748.676,21.038997411727905
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,23,23,169552751.79,162971748.676,21.953705310821533
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,24,24,169848746.645,162971748.676,22.924609422683716
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,25,25,169840720.633,162971748.676,23.838258504867554
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,26,26,168018967.74,162971748.676,24.777650594711304
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,27,27,170610036.166,162971748.676,25.727486610412598
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,28,28,173213823.511,162971748.676,26.64775538444519
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,29,29,169362474.032,162971748.676,27.62436556816101
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,30,30,179777150.661,162971748.676,28.53976559638977
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,31,31,173144641.075,162971748.676,29.515085697174072
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,32,32,170191815.928,162971748.676,30.48861050605774
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,33,33,168446188.546,162971748.676,31.50406765937805
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,34,34,170956795.232,162971748.676,32.50265169143677
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,35,35,170623169.986,162971748.676,33.48500967025757
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,36,36,176835019.269,162971748.676,34.459425926208496
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,37,37,184941237.16,162971748.676,35.485745668411255
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,38,38,168763801.3,162971748.676,36.52453064918518
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,39,39,168025352.169,162971748.676,37.49458956718445
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,40,40,173830008.259,162971748.676,38.48597955703735
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,41,41,179251237.379,162971748.676,39.62163472175598
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,42,42,184679753.248,162971748.676,40.59967756271362
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,43,43,172650244.396,162971748.676,41.59906077384949
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,44,44,176372011.877,162971748.676,42.57361960411072
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,45,45,179815806.197,162971748.676,43.554484605789185
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,46,46,169097403.582,162971748.676,44.536303758621216
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,47,47,174759239.75,162971748.676,45.51104283332825
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,48,48,167774224.821,162971748.676,46.48880171775818
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,49,49,169662455.963,162971748.676,47.475706577301025
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,50,50,161766626.332,161766626.332,48.4514946937561
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,51,51,168217689.07,161766626.332,49.43461871147156
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,52,52,167958281.422,161766626.332,50.426270961761475
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,53,53,172732243.184,161766626.332,51.401671171188354
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,54,54,174814503.386,161766626.332,52.37365746498108
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,55,55,180116468.596,161766626.332,53.360737323760986
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,56,56,169859306.539,161766626.332,54.35773825645447
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,57,57,168312010.506,161766626.332,55.33067727088928
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,58,58,172197684.266,161766626.332,56.311713218688965
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,59,59,173680695.975,161766626.332,57.28962731361389
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,60,60,163742929.571,161766626.332,58.272562980651855
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,61,61,173167388.963,161766626.332,59.28339099884033
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,62,62,174912353.193,161766626.332,60.263814210891724
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,63,63,179338257.918,161766626.332,61.24405908584595
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,64,64,170013818.113,161766626.332,62.242167949676514
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,65,65,168059663.846,161766626.332,63.215208768844604
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,66,66,168144278.529,161766626.332,64.1935248374939
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,67,67,178551203.518,161766626.332,65.20635676383972
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,68,68,167318445.055,161766626.332,66.17475175857544
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,69,69,178800432.198,161766626.332,67.15755462646484
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,70,70,170247377.312,161766626.332,68.17743444442749
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,71,71,170343085.961,161766626.332,69.15242624282837
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,72,72,166557750.836,161766626.332,70.12266230583191
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,73,73,170586023.035,161766626.332,71.12824416160583
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,74,74,165961241.768,161766626.332,72.10060834884644
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,75,75,176762398.598,161766626.332,73.06718730926514
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,76,76,167283793.145,161766626.332,74.0379843711853
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,77,77,164668336.203,161766626.332,75.0167441368103
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,78,78,173512877.164,161766626.332,76.00279808044434
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,79,79,174200230.217,161766626.332,76.98647689819336
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,80,80,171196863.465,161766626.332,77.95063853263855
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,81,81,169815229.847,161766626.332,78.93965363502502
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,82,82,173035766.963,161766626.332,79.92676854133606
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,83,83,173395320.286,161766626.332,80.90752649307251
