run_id,problem,instance,method,execution_mode,fidelity_estimate,n_decision_variables,eligible_candidate_count,hardware_primary_metric,hardware_feasible,random_feasibility_rate,random_metric_median,random_metric_p025,random_metric_p975,hardware_random_tail_fraction,hardware_vs_random_classification,median_random_local_refinement_improvement,notes
mkp_ma_qaoa_hp1,MDKP,hp1,ma_qaoa,hardware,2.70351162892e-124,60,200000,21.0649502633,True,1,20.157987127,8.00175541252,35.246489175,0.544850498339,random_comparable,27.1796372148,
mkp_ma_qaoa_hp2,MDKP,hp2,ma_qaoa,hardware,5.81075511168e-167,67,200000,15.6622724419,True,1,21.5160075329,10.6222536095,32.8209353421,0.162790697674,random_comparable,19.4601381042,
mkp_ma_qaoa_pb1,MDKP,pb1,ma_qaoa,hardware,4.03247908854e-122,59,200000,27.8640776699,True,1,18.0258899676,7.54045307443,35.0177993527,0.870431893688,random_comparable,26.1812297735,
mkp_ma_qaoa_pb2,MDKP,pb2,ma_qaoa,hardware,2.39076853986e-160,66,200000,44.5072190835,True,1,22.0809792844,10.5461393597,43.3035153798,0.980066445183,underperforms_matched_uniform_random,19.4601381042,
mkp_ma_qaoa_pb4,MDKP,pb4,ma_qaoa,hardware,1.55833218567e-66,45,200000,27.6290349697,True,1,32.2650470746,15.1609259415,47.1848205279,0.28903654485,random_comparable,16.3657952253,
mkp_ma_qaoa_pb5,MDKP,pb5,ma_qaoa,hardware,5.86228280828e-259,116,200000,28.0037400655,True,1,25.1986909771,9.8644226274,47.4287050024,0.604651162791,random_comparable,13.6044880786,
mkp_ma_qaoa_pet2,MDKP,pet2,ma_qaoa,hardware,3.21175452304e-133,99,200000,30.9656447778,True,1,10.3031208004,0.101480571094,27.5903389578,0.980066445183,underperforms_matched_uniform_random,38.1112093819,
mkp_ma_qaoa_pet3,MDKP,pet3,ma_qaoa,hardware,3.61219903887e-180,102,200000,27.5217932752,True,1,24.4084682441,6.77148194271,47.5186799502,0.594684385382,random_comparable,22.4159402242,
mkp_ma_qaoa_pet4,MDKP,pet4,ma_qaoa,hardware,2.27617602658e-235,107,200000,14.3790849673,True,1,22.7124183007,7.39174836601,39.9121732027,0.176079734219,random_comparable,41.6666666666,
mkp_ma_qaoa_pet5,MDKP,pet5,ma_qaoa,hardware,0,122,200000,26.2096774194,True,1,27.439516129,12.9758064516,51.2983870968,0.451827242525,random_comparable,25,
mkp_ma_qaoa_pet6,MDKP,pet6,ma_qaoa,hardware,3.22318144917e-257,86,200000,39.8662648333,True,1,18.8500659258,8.79708984743,36.2269259748,0.986710963455,underperforms_matched_uniform_random,36.6264833302,
mkp_ma_qaoa_pet7,MDKP,pet7,ma_qaoa,hardware,0,100,200000,28.9109270122,True,1,26.483038036,9.3110902824,45.0055935176,0.581395348837,random_comparable,25.7604160367,
mkp_qaoa_hp1,MDKP,hp1,qaoa,hardware,3.06886200431e-127,60,56000,36.2200117028,True,1,20.5968402575,7.98712697484,35.1755412522,0.983388704319,underperforms_matched_uniform_random,27.1796372148,
mkp_qaoa_hp2,MDKP,hp2,qaoa,hardware,1.77468942717e-166,67,60000,19.6798493409,True,1,21.971123666,10.7117074702,33.3262711864,0.408637873754,random_comparable,19.4601381042,
mkp_qaoa_pb1,MDKP,pb1,qaoa,hardware,4.12902364435e-118,59,49000,36.6666666667,True,1,18.0420711974,7.26294498382,34.2718446602,0.993355481728,underperforms_matched_uniform_random,26.1812297735,
mkp_qaoa_pb2,MDKP,pb2,qaoa,hardware,4.3992967256e-158,66,49000,42.1845574388,True,1,22.1908349027,11.185655995,42.4795982423,0.970099667774,underperforms_matched_uniform_random,19.4601381042,
mkp_qaoa_pb4,MDKP,pb4,qaoa,hardware,2.01986574153e-65,45,57000,37.5262693342,True,1,31.9939475454,14.5392358776,46.3519250168,0.734219269103,random_comparable,16.4477555481,
mkp_qaoa_pb5,MDKP,pb5,qaoa,hardware,1.74581209161e-267,116,53000,23.4689107059,True,1,25.4791958859,8.51916783544,49.0182328191,0.408637873754,random_comparable,14.3992519869,
mkp_qaoa_pet2,MDKP,pet2,qaoa,hardware,2.27102727962e-132,99,63000,14.7000379045,True,1,10.3978819448,0.213643307566,30.7020939342,0.734219269103,random_comparable,38.1112093819,
mkp_qaoa_pet3,MDKP,pet3,qaoa,hardware,2.44423366887e-179,102,53000,20.0498132005,True,1,25.7160647572,5.91220423412,44.6481942715,0.31561461794,random_comparable,29.3897882939,
mkp_qaoa_pet4,MDKP,pet4,qaoa,hardware,9.60377722115e-231,107,53000,33.3333333333,True,1,23.6519607843,7.00980392157,40.8578431372,0.867109634551,random_comparable,40.3594771242,
mkp_qaoa_pet5,MDKP,pet5,qaoa,hardware,0,122,56000,37.2983870968,True,1,28.6693548387,11.8467741936,49.4344758064,0.787375415282,random_comparable,25,
mkp_qaoa_pet6,MDKP,pet6,qaoa,hardware,2.82977927378e-255,86,51000,23.0928611791,True,1,18.7935581089,9.70874929365,34.2618666415,0.727574750831,random_comparable,34.1778112639,
mkp_qaoa_pet7,MDKP,pet7,qaoa,hardware,0,100,58000,49.7550946363,True,1,26.3348854084,10.9419785935,44.5602285783,0.996677740864,underperforms_matched_uniform_random,24.9622059624,
mkp_ws_qaoa_hp1,MDKP,hp1,ws_qaoa,hardware,7.22149567914e-130,60,60000,23.6102984201,True,1,20.20187244,7.84888823874,35.3576653013,0.671096345515,random_comparable,27.1796372147,
mkp_ws_qaoa_hp2,MDKP,hp2,ws_qaoa,hardware,9.28086961595e-164,67,56000,29.1902071563,True,1,22.0338983051,10.0557124922,33.7539234149,0.890365448505,random_comparable,19.4601381042,
mkp_ws_qaoa_pb1,MDKP,pb1,ws_qaoa,hardware,1.7661397846e-121,59,68000,28.4466019417,True,1,17.7993527508,7.26294498382,34.1949838188,0.916943521595,random_comparable,26.1812297735,
mkp_ws_qaoa_pb2,MDKP,pb2,ws_qaoa,hardware,1.18939490316e-158,66,55000,33.9296924043,True,1,22.1908349027,11.4916823603,45.6308851224,0.873754152824,random_comparable,19.4601381042,
mkp_ws_qaoa_pb4,MDKP,pb4,ws_qaoa,hardware,2.01700984023e-66,45,63000,43.1321452589,True,1,31.9939475454,15.1887451664,46.1328125,0.933554817276,random_comparable,16.4477555481,
