problem,method,n_representative_circuits,historical_median_two_qubit_gates,swap_aware_heron_median_two_qubit_gates,fractional_gate_heron_median_two_qubit_gates,swap_aware_nighthawk_median_two_qubit_gates,swap_aware_heron_median_reduction_percent,fractional_gate_heron_median_reduction_percent,swap_aware_nighthawk_median_reduction_percent,historical_median_fidelity_proxy,swap_aware_heron_median_fidelity_proxy,fractional_gate_heron_median_gate_proxy,swap_aware_nighthawk_median_fidelity_proxy,n_circuits_crossing_0_1_under_any_counterfactual,n_circuits_crossing_1e_3_under_any_counterfactual,interpretation
MDKP,QAOA,1,22621,24918,21153,18075,-10.1543,6.48955,20.0964,3.06886e-127,4.46526e-139,9.48903e-125,1.76593e-102,0,0,Counterfactual compilation reduces two-qubit gates but remains below the 1e-3 proxy threshold for this representative circuit.
MDKP,MA-QAOA,1,22019,24918,21153,18075,-13.1659,3.93297,17.9118,2.70351e-124,4.46526e-139,9.48903e-125,1.76593e-102,0,0,Counterfactual compilation reduces two-qubit gates but remains below the 1e-3 proxy threshold for this representative circuit.
MDKP,WS-QAOA,1,23114,24918,21153,18075,-7.80479,8.48404,21.8006,7.2215e-130,4.28589e-139,7.45688e-125,1.70861e-102,0,0,Counterfactual compilation reduces two-qubit gates but remains below the 1e-3 proxy threshold for this representative circuit.
MIS,QAOA,1,935,969,765,720,-3.63636,18.1818,22.9947,1.91844e-06,1.35868e-06,1.9154e-05,2.90643e-05,0,0,Counterfactual compilation reduces two-qubit gates but remains below the 1e-3 proxy threshold for this representative circuit.
MIS,MA-QAOA,1,915,969,765,720,-5.90164,16.3934,21.3115,2.36437e-06,1.35868e-06,1.9154e-05,2.90643e-05,0,0,Counterfactual compilation reduces two-qubit gates but remains below the 1e-3 proxy threshold for this representative circuit.
MIS,WS-QAOA,1,911,969,765,720,-6.36663,16.0263,20.966,2.3385e-06,1.35868e-06,1.90584e-05,2.90643e-05,0,0,Counterfactual compilation reduces two-qubit gates but remains below the 1e-3 proxy threshold for this representative circuit.
QAP,QAOA,1,79041,95754,81444,65244,-21.1447,-3.04019,17.4555,0,0,0,0,0,0,Counterfactual compilation reduces two-qubit gates but remains below the 1e-3 proxy threshold for this representative circuit.
QAP,MA-QAOA,1,79027,95754,81444,65244,-21.1662,-3.05845,17.4409,0,0,0,0,0,0,Counterfactual compilation reduces two-qubit gates but remains below the 1e-3 proxy threshold for this representative circuit.
QAP,WS-QAOA,1,76532,90610,81444,60100,-18.3949,-6.41823,21.4708,0,0,0,0,0,0,Counterfactual compilation reduces two-qubit gates but remains below the 1e-3 proxy threshold for this representative circuit.
MSP,QAOA,1,38936,43968,37668,31656,-12.9238,3.25663,18.6973,3.35869e-218,1.94792e-244,6.59222e-222,2.21255e-178,0,0,Counterfactual compilation reduces two-qubit gates but remains below the 1e-3 proxy threshold for this representative circuit.
MSP,MA-QAOA,1,39302,43968,37668,31656,-11.8722,4.15755,19.4545,3.1668e-220,1.94792e-244,6.59222e-222,2.21255e-178,0,0,Counterfactual compilation reduces two-qubit gates but remains below the 1e-3 proxy threshold for this representative circuit.
MSP,WS-QAOA,1,39227,43968,37668,31656,-12.0861,3.9743,19.3005,5.66734e-220,1.83265e-244,4.64546e-222,2.11308e-178,0,0,Counterfactual compilation reduces two-qubit gates but remains below the 1e-3 proxy threshold for this representative circuit.
