problem,instance,method,method_family,backend,transpiled_two_qubit_gates,backend_two_qubit_error,hardware_feasible,hardware_optimality_gap_percent,hardware_tdev,quality_metric,reference_fidelity_proxy,point_panel,infeasible_problem_lane,marker_key,problem_color_key,source_artifact
MSP,ms_seed0_prod2,CVaR-VQE,VQE-family,ibm_torino,144,not_available_in_source_artifact,true,not_available,27,tdev,0.648787982556,excluded_from_gap_panel,not_applicable,square,MSP,research_benchmark/research_benchmark/results_hardware/market_share/market_share_cvar_vqe/ms_seed0_prod2_gen/result.json; metadata_selection=trace_last_metadata_fallback
MSP,ms_seed0_prod3,CVaR-VQE,VQE-family,ibm_torino,252,not_available_in_source_artifact,true,not_available,347,tdev,0.469007615412,excluded_from_gap_panel,not_applicable,square,MSP,research_benchmark/research_benchmark/results_hardware/market_share/market_share_cvar_vqe/ms_seed0_prod3_gen/result.json; metadata_selection=trace_best_sample_energy_match
MSP,ms_seed0_prod4,CVaR-VQE,VQE-family,ibm_torino,784,not_available_in_source_artifact,true,not_available,150,tdev,0.0948427452661,excluded_from_gap_panel,not_applicable,square,MSP,research_benchmark/research_benchmark/results_hardware/market_share/market_share_cvar_vqe/ms_seed0_prod4_gen/result.json; metadata_selection=trace_best_sample_energy_match
MSP,ms_seed0_prod5,CVaR-VQE,VQE-family,ibm_marrakesh,1534,not_available_in_source_artifact,true,not_available,476,tdev,0.0099626035879,excluded_from_gap_panel,not_applicable,square,MSP,research_benchmark/research_benchmark/results_hardware/market_share/market_share_cvar_vqe/ms_seed0_prod5_gen/result.json; metadata_selection=trace_best_sample_energy_match
MSP,ms_seed1_prod2,CVaR-VQE,VQE-family,ibm_torino,272,not_available_in_source_artifact,true,not_available,9,tdev,0.441654907761,excluded_from_gap_panel,not_applicable,square,MSP,research_benchmark/research_benchmark/results_hardware/market_share/market_share_cvar_vqe/ms_seed1_prod2_gen/result.json; metadata_selection=trace_best_sample_energy_match
MSP,ms_seed1_prod3,CVaR-VQE,VQE-family,ibm_marrakesh,252,not_available_in_source_artifact,true,not_available,51,tdev,0.469007615412,excluded_from_gap_panel,not_applicable,square,MSP,research_benchmark/research_benchmark/results_hardware/market_share/market_share_cvar_vqe/ms_seed1_prod3_gen/result.json; metadata_selection=trace_best_sample_energy_match
MSP,ms_seed1_prod4,CVaR-VQE,VQE-family,ibm_torino,784,not_available_in_source_artifact,true,not_available,48,tdev,0.0948427452661,excluded_from_gap_panel,not_applicable,square,MSP,research_benchmark/research_benchmark/results_hardware/market_share/market_share_cvar_vqe/ms_seed1_prod4_gen/result.json; metadata_selection=trace_best_sample_energy_match
MSP,ms_seed1_prod5,CVaR-VQE,VQE-family,ibm_fez,1621,not_available_in_source_artifact,true,not_available,565,tdev,0.00767099364919,excluded_from_gap_panel,not_applicable,square,MSP,research_benchmark/research_benchmark/results_hardware/market_share/market_share_cvar_vqe/ms_seed1_prod5_gen/result.json; metadata_selection=trace_best_sample_energy_match
MSP,ms_seed0_prod2,MA-QAOA,QAOA-family,ibm_torino,13644,not_available_in_source_artifact,true,not_available,10,tdev,1.57304086213e-18,excluded_from_gap_panel,not_applicable,diamond,MSP,research_benchmark/research_benchmark/results_hardware/market_share/market_share_ma_qaoa/ms_seed0_prod2_gen/result.json; metadata_selection=trace_best_sample_energy_match
MSP,ms_seed0_prod3,MA-QAOA,QAOA-family,ibm_torino,39302,not_available_in_source_artifact,true,not_available,203,tdev,5.21329096715e-52,excluded_from_gap_panel,not_applicable,diamond,MSP,research_benchmark/research_benchmark/results_hardware/market_share/market_share_ma_qaoa/ms_seed0_prod3_gen/result.json; metadata_selection=trace_best_sample_energy_match
MSP,ms_seed0_prod4,MA-QAOA,QAOA-family,ibm_torino,75551,not_available_in_source_artifact,true,not_available,619,tdev,2.61761399476e-99,excluded_from_gap_panel,not_applicable,diamond,MSP,research_benchmark/research_benchmark/results_hardware/market_share/market_share_ma_qaoa/ms_seed0_prod4_gen/result.json; metadata_selection=trace_best_sample_energy_match
