problem,method,hardware_runs,feasible_runs,infeasible_runs,median_transpiled_two_qubit_gates_feasible,median_transpiled_two_qubit_gates_infeasible,min_transpiled_two_qubit_gates_infeasible,max_transpiled_two_qubit_gates_infeasible,notes
MDKP,CVaR-VQE,12,12,0,328,not_available,not_available,not_available,not_applicable
MDKP,MA-QAOA,12,12,0,30872.5,not_available,not_available,not_available,not_applicable
MDKP,PCE,12,12,0,288,not_available,not_available,not_available,not_applicable
MDKP,QAOA,12,12,0,31098.5,not_available,not_available,not_available,not_applicable
MDKP,QRAO,12,12,0,130.5,not_available,not_available,not_available,not_applicable
MDKP,VQE,12,12,0,326,not_available,not_available,not_available,not_applicable
MDKP,WS-QAOA,12,12,0,30850,not_available,not_available,not_available,not_applicable
MIS,CVaR-VQE,7,3,4,96,192,192,1284,not_applicable
MIS,MA-QAOA,7,2,5,146,4548,915,48272,not_applicable
MIS,PCE,7,2,5,5,14,10,18,not_applicable
MIS,QAOA,7,3,4,241,9491.5,4600,48702,not_applicable
MIS,QRAO,5,2,3,25.5,66,66,72,not_applicable
MIS,VQE,7,2,5,81,192,96,1403,not_applicable
MIS,WS-QAOA,7,4,3,574,14029,14029,48544,not_applicable
MSP,CVaR-VQE,8,8,0,528,not_available,not_available,not_available,feasible_msp_uses_tdev_and_is_excluded_from_gap_panel
MSP,MA-QAOA,8,8,0,58056.5,not_available,not_available,not_available,feasible_msp_uses_tdev_and_is_excluded_from_gap_panel
MSP,PCE,8,8,0,292,not_available,not_available,not_available,feasible_msp_uses_tdev_and_is_excluded_from_gap_panel
MSP,QAOA,8,8,0,57600,not_available,not_available,not_available,feasible_msp_uses_tdev_and_is_excluded_from_gap_panel
MSP,QRAO,8,8,0,169.5,not_available,not_available,not_available,feasible_msp_uses_tdev_and_is_excluded_from_gap_panel
MSP,VQE,8,8,0,340,not_available,not_available,not_available,feasible_msp_uses_tdev_and_is_excluded_from_gap_panel
MSP,WS-QAOA,8,8,0,57312,not_available,not_available,not_available,feasible_msp_uses_tdev_and_is_excluded_from_gap_panel
QAP,CVaR-VQE,11,0,11,not_available,1389,300,1580,all_reported_qap_hardware_outcomes_infeasible
QAP,MA-QAOA,8,0,8,not_available,84276,78718,167992,all_reported_qap_hardware_outcomes_infeasible
QAP,PCE,6,0,6,not_available,230,20,440,all_reported_qap_hardware_outcomes_infeasible
QAP,QAOA,14,0,14,not_available,158163,79041,173096,all_reported_qap_hardware_outcomes_infeasible
QAP,QRAO,7,0,7,not_available,183,159,1361,all_reported_qap_hardware_outcomes_infeasible
QAP,VQE,11,0,11,not_available,1218,300,1323,all_reported_qap_hardware_outcomes_infeasible
QAP,WS-QAOA,9,0,9,not_available,82789,77609,159153,all_reported_qap_hardware_outcomes_infeasible
