problem,instance,method,backend,transpiled_two_qubit_gates,fidelity_proxy,hardware_feasible,hardware_optimality_gap_percent,marker_key,problem_color_key,panel
MIS,1tc.16,CVaR-VQE,ibm_torino,102,0.736048018341,true,12.5,square,MIS,signal_preserving
MIS,1tc.32,CVaR-VQE,ibm_torino,96,0.749437116209,true,16.67,square,MIS,signal_preserving
MIS,1tc.8,CVaR-VQE,ibm_torino,60,0.835044266956,true,0,square,MIS,signal_preserving
MIS,1tc.16,MA-QAOA,ibm_torino,232,0.49805433937,true,12.5,diamond,MIS,signal_preserving
MIS,1tc.8,MA-QAOA,ibm_torino,60,0.835044266956,true,0,diamond,MIS,signal_preserving
MIS,1tc.16,PCE,ibm_torino,6,0.982134461214,true,62.5,pentagon,MIS,signal_preserving
MIS,1tc.8,PCE,ibm_fez,4,0.988053892081,true,25,pentagon,MIS,signal_preserving
MIS,1tc.16,QAOA,ibm_torino,241,0.484767117294,true,25,upward_triangle,MIS,signal_preserving
MIS,1tc.32,QAOA,ibm_torino,935,0.0602522155918,true,25,upward_triangle,MIS,signal_preserving
MIS,1tc.8,QAOA,ibm_torino,60,0.835044266956,true,0,upward_triangle,MIS,signal_preserving
MIS,1tc.16,QRAO,ibm_fez,15,0.955932824839,true,12.5,X,MIS,signal_preserving
MIS,1tc.32,QRAO,ibm_fez,36,0.897481901098,true,25,X,MIS,signal_preserving
MIS,1tc.16,VQE,ibm_fez,102,0.736048018341,true,0,circle,MIS,signal_preserving
MIS,1tc.8,VQE,ibm_torino,60,0.835044266956,true,0,circle,MIS,signal_preserving
MIS,1tc.16,WS-QAOA,ibm_torino,237,0.490628214897,true,0,downward_triangle,MIS,signal_preserving
MIS,1tc.32,WS-QAOA,ibm_torino,911,0.0647573729137,true,16.67,downward_triangle,MIS,signal_preserving
MIS,1tc.64,WS-QAOA,ibm_torino,14029,4.94738780494e-19,true,35,downward_triangle,MIS,noise_dominated
MIS,1tc.8,WS-QAOA,ibm_torino,60,0.835044266956,true,0,downward_triangle,MIS,signal_preserving
MDKP,hp1,CVaR-VQE,ibm_torino,180,0.582275471994,true,33.85,square,MDKP,signal_preserving
MDKP,hp2,CVaR-VQE,ibm_torino,279,0.432463211362,true,15.88,square,MDKP,signal_preserving
MDKP,pb1,CVaR-VQE,ibm_torino,314,0.389295792465,true,14.89,square,MDKP,signal_preserving
MDKP,pb2,CVaR-VQE,ibm_marrakesh,344,0.355741440413,true,11.93,square,MDKP,signal_preserving
MDKP,pb4,CVaR-VQE,ibm_torino,309,0.395188154388,true,34.97,square,MDKP,signal_preserving
MDKP,pb5,CVaR-VQE,ibm_marrakesh,348,0.351491714774,true,18.14,square,MDKP,signal_preserving
MDKP,pet2,CVaR-VQE,ibm_torino,347,0.352549362863,true,1.5,square,MDKP,signal_preserving
MDKP,pet3,CVaR-VQE,ibm_torino,324,0.377773328767,true,36.61,square,MDKP,signal_preserving
MDKP,pet4,CVaR-VQE,ibm_torino,459,0.251812720516,true,41.91,square,MDKP,signal_preserving
MDKP,pet5,CVaR-VQE,ibm_torino,1227,0.0250587410575,true,13.83,square,MDKP,signal_preserving
MDKP,pet6,CVaR-VQE,ibm_torino,332,0.368801398699,true,13.88,square,MDKP,signal_preserving
MDKP,pet7,CVaR-VQE,ibm_torino,300,0.406020062292,true,24.52,square,MDKP,signal_preserving
MDKP,hp1,MA-QAOA,ibm_torino,22019,1.85648251971e-29,true,21.06,diamond,MDKP,noise_dominated
MDKP,hp2,MA-QAOA,ibm_torino,29687,1.83300984746e-39,true,15.66,diamond,MDKP,noise_dominated
MDKP,pb1,MA-QAOA,ibm_torino,21758,4.06681620114e-29,true,27.86,diamond,MDKP,noise_dominated
MDKP,pb2,MA-QAOA,ibm_fez,28136,1.93630718393e-37,true,44.51,diamond,MDKP,noise_dominated
MDKP,pb4,MA-QAOA,ibm_torino,11769,4.39863747418e-16,true,27.63,diamond,MDKP,noise_dominated
MDKP,pb5,MA-QAOA,ibm_fez,46919,5.99974544344e-62,true,28,diamond,MDKP,noise_dominated
MDKP,pet2,MA-QAOA,ibm_torino,23581,1.70031014924e-31,true,30.97,diamond,MDKP,noise_dominated
MDKP,pet3,MA-QAOA,ibm_torino,32058,1.4770158475e-42,true,27.52,diamond,MDKP,noise_dominated
MDKP,pet4,MA-QAOA,ibm_torino,41971,1.71589021838e-55,true,14.38,diamond,MDKP,noise_dominated
MDKP,pet5,MA-QAOA,ibm_torino,64103,2.26847110668e-84,true,26.21,diamond,MDKP,noise_dominated
MDKP,pet6,MA-QAOA,ibm_fez,45006,1.88059368914e-59,true,39.87,diamond,MDKP,noise_dominated
MDKP,pet7,MA-QAOA,ibm_torino,65806,1.36015329147e-86,true,28.91,diamond,MDKP,noise_dominated
MDKP,hp1,PCE,ibm_torino,168,0.603651933973,true,13.25,pentagon,MDKP,signal_preserving
MDKP,hp2,PCE,ibm_torino,224,0.510170640226,true,14.56,pentagon,MDKP,signal_preserving
MDKP,pb1,PCE,ibm_torino,168,0.603651933973,true,22.78,pentagon,MDKP,signal_preserving
MDKP,pb2,PCE,ibm_torino,224,0.510170640226,true,21.37,pentagon,MDKP,signal_preserving
MDKP,pb4,PCE,ibm_torino,120,0.697298927776,true,21.3,pentagon,MDKP,signal_preserving
MDKP,pb5,PCE,ibm_torino,360,0.339044725286,true,17.72,pentagon,MDKP,signal_preserving
MDKP,pet2,PCE,ibm_torino,288,0.420925846309,true,1.69,pentagon,MDKP,signal_preserving
MDKP,pet3,PCE,ibm_fez,288,0.420925846309,true,7.97,pentagon,MDKP,signal_preserving
MDKP,pet4,PCE,ibm_torino,288,0.420925846309,true,20.42,pentagon,MDKP,signal_preserving
MDKP,pet5,PCE,ibm_torino,360,0.339044725286,true,37.5,pentagon,MDKP,signal_preserving
