problem,instance,method,method_label,bks_objective,hardware_objective,hardware_feasible,gap_to_bks_percent,selected_qpus,panel_a_included,source_artifact
MIS,1tc.8,vqe,VQE,4,4,true,0,ibm_quantum,true,research_benchmark/research_benchmark/results_hardware/mis/mis_vqe/1tc_8_txt/result.json
MIS,1tc.8,cvar_vqe,CVaR-VQE,4,4,true,0,ibm_quantum,true,research_benchmark/research_benchmark/results_hardware/mis/mis_cvar_vqe/1tc_8_txt/result.json
MIS,1tc.8,qaoa,QAOA,4,4,true,0,ibm_quantum,true,research_benchmark/research_benchmark/results_hardware/mis/mis_qaoa/1tc_8_txt/result.json
MIS,1tc.8,ma_qaoa,MA-QAOA,4,4,true,0,ibm_quantum,true,research_benchmark/research_benchmark/results_hardware/mis/mis_ma_qaoa/1tc_8_txt/result.json
MIS,1tc.8,ws_qaoa,WS-QAOA,4,4,true,0,ibm_quantum,true,research_benchmark/research_benchmark/results_hardware/mis/mis_ws_qaoa/1tc_8_txt/result.json
MIS,1tc.8,qrao,QRAO,4,4,true,0,local_qiskit,true,research_benchmark/research_benchmark/results_hardware/mis/mis_qrao/1tc_8_txt/result.json
MIS,1tc.8,pce,PCE,4,3,true,25,ibm_quantum,true,research_benchmark/research_benchmark/results_hardware/mis/mis_pce/1tc_8_txt/result.json
MIS,1tc.16,vqe,VQE,8,8,true,0,ibm_quantum,true,research_benchmark/research_benchmark/results_hardware/mis/mis_vqe/1tc_16_txt/result.json
MIS,1tc.16,cvar_vqe,CVaR-VQE,8,7,true,12.5,ibm_quantum,true,research_benchmark/research_benchmark/results_hardware/mis/mis_cvar_vqe/1tc_16_txt/result.json
MIS,1tc.16,qaoa,QAOA,8,6,true,25,ibm_quantum,true,research_benchmark/research_benchmark/results_hardware/mis/mis_qaoa/1tc_16_txt/result.json
MIS,1tc.16,ma_qaoa,MA-QAOA,8,7,true,12.5,ibm_quantum,true,research_benchmark/research_benchmark/results_hardware/mis/mis_ma_qaoa/1tc_16_txt/result.json
MIS,1tc.16,ws_qaoa,WS-QAOA,8,8,true,0,ibm_quantum,true,research_benchmark/research_benchmark/results_hardware/mis/mis_ws_qaoa/1tc_16_txt/result.json
MIS,1tc.16,qrao,QRAO,8,7,true,12.5,ibm_quantum,true,research_benchmark/research_benchmark/results_hardware/mis/mis_qrao/1tc_16_txt/result.json
MIS,1tc.16,pce,PCE,8,3,true,62.5,ibm_quantum,true,research_benchmark/research_benchmark/results_hardware/mis/mis_pce/1tc_16_txt/result.json
MIS,1tc.32,vqe,VQE,12,9,false,not_available,ibm_quantum,true,research_benchmark/research_benchmark/results_hardware/mis/mis_vqe/1tc_32_txt/result.json
MIS,1tc.32,cvar_vqe,CVaR-VQE,12,10,true,16.6666666667,rigetti_ankaa3|ibm_quantum,true,research_benchmark/research_benchmark/results_hardware/mis/mis_cvar_vqe/1tc_32_txt/result.json
MIS,1tc.32,qaoa,QAOA,12,9,true,25,ibm_quantum,true,research_benchmark/research_benchmark/results_hardware/mis/mis_qaoa/1tc_32_txt/result.json
MIS,1tc.32,ma_qaoa,MA-QAOA,12,10,false,not_available,ibm_quantum,true,research_benchmark/research_benchmark/results_hardware/mis/mis_ma_qaoa/1tc_32_txt/result.json
MIS,1tc.32,ws_qaoa,WS-QAOA,12,10,true,16.6666666667,ibm_quantum,true,research_benchmark/research_benchmark/results_hardware/mis/mis_ws_qaoa/1tc_32_txt/result.json
MIS,1tc.32,qrao,QRAO,12,9,true,25,ibm_quantum,true,research_benchmark/research_benchmark/results_hardware/mis/mis_qrao/1tc_32_txt/result.json
MIS,1tc.32,pce,PCE,12,8,false,not_available,ibm_quantum,true,research_benchmark/research_benchmark/results_hardware/mis/mis_pce/1tc_32_txt/result.json
MIS,1tc.64,vqe,VQE,20,19,false,not_available,ibm_quantum,true,research_benchmark/research_benchmark/results_hardware/mis/mis_vqe/1tc_64_txt/result.json
MIS,1tc.64,cvar_vqe,CVaR-VQE,20,17,false,not_available,ibm_quantum,true,research_benchmark/research_benchmark/results_hardware/mis/mis_cvar_vqe/1tc_64_txt/result.json
