problem,instance,instance_id,status,objective_value,objective_from_solution,known_optimal_value,known_optimal_gap_abs,known_optimal_gap_rel,matches_known_optimum,best_bound,relative_gap,solve_wall_time_sec,solver_runtime_sec,solver_work,nodes_processed,simplex_iterations,solution_count,num_items,num_dimensions,num_selected_items,num_variables,num_binary_variables,num_constraints,num_nonzeros,num_quadratic_nonzeros,max_capacity_violation,time_limit_sec,threads,solver,solver_version,formulation,classical_method,log_file,details_file,solution_file
MDKP,hp1.dat,hpp__hp1,OPTIMAL,3418.0,3418,3418,0,0.0,True,3418.0,0.0,0.00854729198908899,0.008244037628173828,0.00046861922281609195,1.0,10.0,6,28,4,18,28,28,4,96,0,0,3600.0,0,Gurobi,13.0.1,Exact binary integer programming formulation,Gurobi branch-and-cut for 0-1 multi-dimensional knapsack,/Users/monitsharma/SMU-Quantum-Repos/quantum-optimization-benchmarks/classical_solutions/results/mdkp/logs/hpp__hp1_solver.log,/Users/monitsharma/SMU-Quantum-Repos/quantum-optimization-benchmarks/classical_solutions/results/mdkp/details/hpp__hp1_details.txt,/Users/monitsharma/SMU-Quantum-Repos/quantum-optimization-benchmarks/classical_solutions/results/mdkp/solutions/hpp__hp1_solution.json
MDKP,hp2.dat,hpp__hp2,OPTIMAL,3186.0,3186,3186,0,0.0,True,3186.0,0.0,0.0027418329991633072,0.002671957015991211,0.0011858061700000004,1.0,15.0,10,35,4,23,35,35,4,121,0,0,3600.0,0,Gurobi,13.0.1,Exact binary integer programming formulation,Gurobi branch-and-cut for 0-1 multi-dimensional knapsack,/Users/monitsharma/SMU-Quantum-Repos/quantum-optimization-benchmarks/classical_solutions/results/mdkp/logs/hpp__hp2_solver.log,/Users/monitsharma/SMU-Quantum-Repos/quantum-optimization-benchmarks/classical_solutions/results/mdkp/details/hpp__hp2_details.txt,/Users/monitsharma/SMU-Quantum-Repos/quantum-optimization-benchmarks/classical_solutions/results/mdkp/solutions/hpp__hp2_solution.json
MDKP,pb1.dat,hpp__pb1,OPTIMAL,3090.0,3090,3090,0,0.0,True,3090.0,0.0,0.0019644999993033707,0.001898050308227539,0.0005918210595238099,1.0,12.0,8,27,4,17,27,27,4,92,0,0,3600.0,0,Gurobi,13.0.1,Exact binary integer programming formulation,Gurobi branch-and-cut for 0-1 multi-dimensional knapsack,/Users/monitsharma/SMU-Quantum-Repos/quantum-optimization-benchmarks/classical_solutions/results/mdkp/logs/hpp__pb1_solver.log,/Users/monitsharma/SMU-Quantum-Repos/quantum-optimization-benchmarks/classical_solutions/results/mdkp/details/hpp__pb1_details.txt,/Users/monitsharma/SMU-Quantum-Repos/quantum-optimization-benchmarks/classical_solutions/results/mdkp/solutions/hpp__pb1_solution.json
MDKP,pb2.dat,hpp__pb2,OPTIMAL,3186.0,3186,3186,0,0.0,True,3186.0,0.0,0.002370083995629102,0.002301931381225586,0.0010171782948809513,1.0,20.0,8,34,4,23,34,34,4,117,0,0,3600.0,0,Gurobi,13.0.1,Exact binary integer programming formulation,Gurobi branch-and-cut for 0-1 multi-dimensional knapsack,/Users/monitsharma/SMU-Quantum-Repos/quantum-optimization-benchmarks/classical_solutions/results/mdkp/logs/hpp__pb2_solver.log,/Users/monitsharma/SMU-Quantum-Repos/quantum-optimization-benchmarks/classical_solutions/results/mdkp/details/hpp__pb2_details.txt,/Users/monitsharma/SMU-Quantum-Repos/quantum-optimization-benchmarks/classical_solutions/results/mdkp/solutions/hpp__pb2_solution.json
MDKP,pb4.dat,hpp__pb4,OPTIMAL,95168.0,95168,95168,0,0.0,True,95168.0,0.0,0.002149082996766083,0.002090930938720703,0.00039380785333333344,1.0,10.0,5,29,2,14,29,29,2,35,0,0,3600.0,0,Gurobi,13.0.1,Exact binary integer programming formulation,Gurobi branch-and-cut for 0-1 multi-dimensional knapsack,/Users/monitsharma/SMU-Quantum-Repos/quantum-optimization-benchmarks/classical_solutions/results/mdkp/logs/hpp__pb4_solver.log,/Users/monitsharma/SMU-Quantum-Repos/quantum-optimization-benchmarks/classical_solutions/results/mdkp/details/hpp__pb4_details.txt,/Users/monitsharma/SMU-Quantum-Repos/quantum-optimization-benchmarks/classical_solutions/results/mdkp/solutions/hpp__pb4_solution.json
MDKP,pb5.dat,hpp__pb5,OPTIMAL,2139.0,2139,2139,0,0.0,True,2139.0,0.0,0.020709999997052364,0.020641088485717773,0.015955471120586547,328.0,1487.0,5,20,10,10,20,20,10,198,0,0,3600.0,0,Gurobi,13.0.1,Exact binary integer programming formulation,Gurobi branch-and-cut for 0-1 multi-dimensional knapsack,/Users/monitsharma/SMU-Quantum-Repos/quantum-optimization-benchmarks/classical_solutions/results/mdkp/logs/hpp__pb5_solver.log,/Users/monitsharma/SMU-Quantum-Repos/quantum-optimization-benchmarks/classical_solutions/results/mdkp/details/hpp__pb5_details.txt,/Users/monitsharma/SMU-Quantum-Repos/quantum-optimization-benchmarks/classical_solutions/results/mdkp/solutions/hpp__pb5_solution.json
MDKP,pet2.dat,hpp__pet2,OPTIMAL,87061.0,87061,87061,0,0.0,True,87061.0,0.0,0.0008836670021992177,0.0008261203765869141,0.0004825214454545456,1.0,3.0,4,10,10,5,10,10,10,97,0,0,3600.0,0,Gurobi,13.0.1,Exact binary integer programming formulation,Gurobi branch-and-cut for 0-1 multi-dimensional knapsack,/Users/monitsharma/SMU-Quantum-Repos/quantum-optimization-benchmarks/classical_solutions/results/mdkp/logs/hpp__pet2_solver.log,/Users/monitsharma/SMU-Quantum-Repos/quantum-optimization-benchmarks/classical_solutions/results/mdkp/details/hpp__pet2_details.txt,/Users/monitsharma/SMU-Quantum-Repos/quantum-optimization-benchmarks/classical_solutions/results/mdkp/solutions/hpp__pet2_solution.json
MDKP,pet3.dat,hpp__pet3,OPTIMAL,4015.0,4015,4015,0,0.0,True,4015.0,0.0,0.0015644999948563054,0.0015091896057128906,0.00079018532219697,1.0,5.0,5,15,10,9,15,15,10,145,0,0,3600.0,0,Gurobi,13.0.1,Exact binary integer programming formulation,Gurobi branch-and-cut for 0-1 multi-dimensional knapsack,/Users/monitsharma/SMU-Quantum-Repos/quantum-optimization-benchmarks/classical_solutions/results/mdkp/logs/hpp__pet3_solver.log,/Users/monitsharma/SMU-Quantum-Repos/quantum-optimization-benchmarks/classical_solutions/results/mdkp/details/hpp__pet3_details.txt,/Users/monitsharma/SMU-Quantum-Repos/quantum-optimization-benchmarks/classical_solutions/results/mdkp/solutions/hpp__pet3_solution.json
MDKP,pet4.dat,hpp__pet4,OPTIMAL,6120.0,6120,6120,0,0.0,True,6120.0,0.0,0.0011973329965258017,0.0011279582977294922,0.0006232129689177491,1.0,5.0,7,20,10,9,20,20,10,188,0,0,3600.0,0,Gurobi,13.0.1,Exact binary integer programming formulation,Gurobi branch-and-cut for 0-1 multi-dimensional knapsack,/Users/monitsharma/SMU-Quantum-Repos/quantum-optimization-benchmarks/classical_solutions/results/mdkp/logs/hpp__pet4_solver.log,/Users/monitsharma/SMU-Quantum-Repos/quantum-optimization-benchmarks/classical_solutions/results/mdkp/details/hpp__pet4_details.txt,/Users/monitsharma/SMU-Quantum-Repos/quantum-optimization-benchmarks/classical_solutions/results/mdkp/solutions/hpp__pet4_solution.json
MDKP,pet5.dat,hpp__pet5,OPTIMAL,12400.0,12400,12400,0,0.0,True,12400.0,0.0,0.015055500000016764,0.014986991882324219,0.0013380483522436176,1.0,15.0,8,28,10,18,28,28,10,263,0,0,3600.0,0,Gurobi,13.0.1,Exact binary integer programming formulation,Gurobi branch-and-cut for 0-1 multi-dimensional knapsack,/Users/monitsharma/SMU-Quantum-Repos/quantum-optimization-benchmarks/classical_solutions/results/mdkp/logs/hpp__pet5_solver.log,/Users/monitsharma/SMU-Quantum-Repos/quantum-optimization-benchmarks/classical_solutions/results/mdkp/details/hpp__pet5_details.txt,/Users/monitsharma/SMU-Quantum-Repos/quantum-optimization-benchmarks/classical_solutions/results/mdkp/solutions/hpp__pet5_solution.json
